county,cost,total,t/c,name
Bomet,60000,800000,13.33333333,mango
Kirinyaga,60000,464000,7.733333333,mango
Kwale,60000,720000,12,mango
Baringo,60000,192000,3.2,mango
Kiambu,60000,1200000,20,mango
Kisii,60000,800000,13.33333333,mango
Bungoma,60000,625000,10.41666667,mango
Busia ,60000,60000,1,mango
Elgeyo marakwet ,60000,62400,1.04,mango
Embu ,60000,125000,2.083333333,mango
Homabay,60000,33300,0.555,mango
Isiolo,60000,150000,2.5,mango
Kajiado,60000,160000,2.666666667,mango
Kericho,60000,150000,2.5,mango
Kilifi,60000,13000,0.216666667,mango
Kisumu,60000,250000,4.166666667,mango
Kitui,60000,90000,1.5,mango
Kakamega,60000,800000,13.33333333,mango
Bomet,7000,52200,7.457142857,beans
Kirinyaga,7000,70200,10.02857143,beans
Kwale,7000,90000,12.85714286,beans
Baringo,7000,64800,9.257142857,beans
Kiambu,7000,81000,11.57142857,beans
Kisii,7000,81000,11.57142857,beans
Bungoma,7000,55350,7.907142857,beans
Busia ,7000,55350,7.907142857,beans
Elgeyo marakwet ,7000,67500,9.642857143,beans
Embu ,7000,168000,24,beans
Homabay ,7000,230000,32.85714286,beans
Isiolo,7000,17280000,2468.571429,beans
Kajiado,7000,40800,5.828571429,beans
Kericho,7000,2380000,340,beans
Kilifi,7000,90000,12.85714286,beans
Kisumu,7000,525000,75,beans
Kitui,7000,1476000,210.8571429,beans
Kakamega,7000,99000,14.14285714,beans
Bomet,26000,164700,6.334615385,maize
Kirinyaga,26000,243000,9.346153846,maize
Kwale,26000,162000,6.230769231,maize
Baringo,26000,172800,6.646153846,maize
Kiambu,26000,216000,8.307692308,maize
Kisii,26000,191700,7.373076923,maize
Bungoma,26000,2890000,111.1538462,maize
Busia ,26000,28350,1.090384615,maize
Elgeyo marakwet ,26000,90000,3.461538462,maize
Embu ,26000,434000,16.69230769,maize
Homabay,26000,250000,9.615384615,maize
Isiolo,26000,40000,1.538461538,maize
Kajiado,26000,201000,7.730769231,maize
Kericho,26000,522000,20.07692308,maize
Kilifi,26000,10000,0.384615385,maize
Kisumu,26000,252000,9.692307692,maize
Kitui,26000,2480000,95.38461538,maize
Kakamega,26000,172800,6.646153846,maize
Bomet,100000,1600000,16,banana
Kirinyaga,100000,1280000,12.8,banana
Kwale,150000,3200000,21.33333333,banana
Baringo,100000,384000,3.84,banana
Kiambu,100000,5120000,51.2,banana
Kisii,100000,432000,4.32,banana
Bungoma,100000,57000,0.57,banana
Busia ,100000,23000,0.23,banana
Elgeyo marakwet ,100000,3150,0.0315,banana
Embu ,100000,62100,0.621,banana
Homabay,100000,9200,0.092,banana
Isiolo,100000,480000,4.8,banana
Kajiado,100000,288000,2.88,banana
Kericho,100000,240000,2.4,banana
Kilifi,100000,4800,0.048,banana
Kisumu,100000,150000,1.5,banana
Kitui,100000,212800,2.128,banana
Kakamega,100000,6400000,64,banana
Bomet,60394,229500,3.800046362,rice
Kirinyaga,60394,292500,4.843196344,rice
Kwale,60394,292500,4.843196344,rice
Baringo,60394,225000,3.725535649,rice
Kiambu,60394,270000,4.470642779,rice
Kisii,60394,299250,4.954962413,rice
Bungoma,60394,2160000,35.76514223,rice
Busia ,60394,105000,1.738583303,rice
Elgeyo marakwet ,60394,400000,6.623174488,rice
Embu ,60394,336000,5.56346657,rice
Homabay,60394,150000,2.483690433,rice
Isiolo,60394,60000,0.993476173,rice
Kajiado,60394,840000,13.90866642,rice
Kericho,60394,900000,14.9021426,rice
Kilifi,60394,11500,0.190416267,rice
Kisumu,60394,735000,12.17008312,rice
Kitui,60394,660000,10.9282379,rice
Kakamega,60394,270000,4.470642779,rice
Bomet,170000,202500,1.191176471,grapes
Kirinyaga,170000,30000,0.176470588,grapes
Kwale,170000,50000,0.294117647,grapes
Baringo,170000,40000,0.235294118,grapes
Kiambu,170000,350000,2.058823529,grapes
Kisii,170000,3000,0.017647059,grapes
Bungoma,170000,15000,0.088235294,grapes
Busia ,170000,15000,0.088235294,grapes
Elgeyo marakwet ,170000,202500,1.191176471,grapes
Embu ,170000,140000,0.823529412,grapes
Homabay,170000,60000,0.352941176,grapes
Isiolo,170000,30000,0.176470588,grapes
Kajiado,170000,36000,0.211764706,grapes
Kericho,170000,3000,0.017647059,grapes
Kilifi,170000,50000,0.294117647,grapes
Kisumu,170000,60000,0.352941176,grapes
Kitui,170000,13200,0.077647059,grapes
Kakamega,170000,15000,0.088235294,grapes
Bomet,125000,10000,0.08,papaya
Kirinyaga,125000,350000,2.8,papaya
Kwale,125000,36000,0.288,papaya
Baringo,125000,12000,0.096,papaya
Kiambu,125000,35000,0.28,papaya
Kisii,125000,24000,0.192,papaya
Bungoma,125000,600000,4.8,papaya
Busia ,125000,7500,0.06,papaya
Elgeyo marakwet ,125000,4320,0.03456,papaya
Embu ,125000,70000,0.56,papaya
Homabay,125000,13500,0.108,papaya
Isiolo,125000,500000,4,papaya
Kajiado,125000,100000,0.8,papaya
Kericho,125000,20000,0.16,papaya
Kilifi,125000,25000,0.2,papaya
Kisumu,125000,40000,0.32,papaya
Kitui,125000,5000,0.04,papaya
Kakamega,125000,60000,0.48,papaya
Bomet,45000,114000,2.533333333,greengrams
Kirinyaga,45000,476000,10.57777778,greengrams
Kwale,45000,300000,6.666666667,greengrams
Baringo,45000,650000,14.44444444,greengrams
Kiambu,45000,108500,2.411111111,greengrams
Kisii,45000,262500,5.833333333,greengrams
Bungoma,45000,793000,17.62222222,greengrams
Busia ,45000,72000,1.6,greengrams
Elgeyo marakwet ,45000,34720,0.771555556,greengrams
Embu ,45000,290000,6.444444444,greengrams
Homabay,45000,400000,8.888888889,greengrams
Isiolo,45000,1230000,27.33333333,greengrams
Kajiado,45000,200000,4.444444444,greengrams
Kericho,45000,600000,13.33333333,greengrams
Kilifi,45000,13950,0.31,greengrams
Kisumu,45000,525000,11.66666667,greengrams
Kitui,45000,2550000,56.66666667,greengrams
Kakamega,45000,260700,5.793333333,greengrams
